invoice_number,customer_name,customer_vat,customer_address,customer_city,invoice_date,due_date,item_description,quantity,unit_price,vat_rate,subtotal,vat_amount,total,currency,status,business_type,notes
МК-2024-001,Македонска Банка АД,MK4080012345678,"ул. 11 Октомври 7",Скопје,2024-07-15,2024-08-15,IT консултантски услуги,1,45000.00,18%,45000.00,8100.00,53100.00,MKD,SENT,B2B,Дигитална трансформација на банкарскиот систем
МК-2024-002,Стопанска Банка АД,MK4080012345679,"бул. Јане Сандански 32",Скопје,2024-07-16,2024-08-16,Системска интеграција,2,22500.00,18%,45000.00,8100.00,53100.00,MKD,PAID,B2B,PSD2 банкарски API интеграција
МК-2024-003,НЛБ Банка АД,MK4080012345680,"ул. Партизанска 2",Скопје,2024-07-17,2024-08-17,Software лиценца за 12 месеци,1,60000.00,18%,60000.00,10800.00,70800.00,MKD,SENT,B2B,Годишна лиценца за банкарски софтвер
МК-2024-004,Комерцијална Банка АД,MK4080012345681,"ул. Орце Николов 3",Скопје,2024-07-18,2024-08-18,Обука за банкарски персонал,5,3000.00,5%,15000.00,750.00,15750.00,MKD,DRAFT,B2B,Обука за користење на нов систем - намалена ДДВ ставка
МК-2024-005,Скопски Саем АД,MK4080012345682,"ул. Никола Тесла 36",Скопје,2024-07-19,2024-08-19,Web развој и дизајн,1,25000.00,18%,25000.00,4500.00,29500.00,MKD,SENT,B2B,Корпоративна веб страница со онлајн функционалности
МК-2024-006,Електростопанство МЕПСО,MK4080012345683,"ул. Максим Горки 15",Скопје,2024-07-20,2024-08-20,Енергетски мониторинг систем,1,120000.00,18%,120000.00,21600.00,141600.00,MKD,OVERDUE,B2B,Систем за мониторинг на електричната мрежа
МК-2024-007,Македонски Телеком АД,MK4080012345684,"ул. Кеј 13 Ноември 6",Скопје,2024-07-21,2024-08-21,Телекомуникациски софтвер,3,18000.00,18%,54000.00,9720.00,63720.00,MKD,PAID,B2B,Модули за биллинг систем
МК-2024-008,Приватна лекарска практика др. Петровски,,,"ул. Франклин Рузвелт 22",Скопје,2024-07-22,2024-08-22,Медицински информационен систем,1,35000.00,5%,35000.00,1750.00,36750.00,MKD,SENT,B2C,Систем за управување со пациенти - намалена ДДВ за здравство
МК-2024-009,Универзитет Св. Кирил и Методиј,MK4080012345685,"бул. Гоце Делчев 9",Скопје,2024-07-23,2024-08-23,Едукациски софтвер,1,42000.00,5%,42000.00,2100.00,44100.00,MKD,DRAFT,B2B,Студентски информационен систем - намалена ДДВ за образование
МК-2024-010,Битолски Саем ДООЕЛ,MK4080012345686,"ул. Маршал Тито 44",Битола,2024-07-24,2024-08-24,Е-комерс платформа,1,32000.00,18%,32000.00,5760.00,37760.00,MKD,SENT,B2B,Онлајн продавница со платни системи
