name,description,price,unit,vat_rate,category
IT консултантски услуги,Консултантски услуги за дигитална трансформација,45000.00,час,18%,Услуги
Системска интеграција,PSD2 API интеграција со банкарски системи,22500.00,проект,18%,Развој
Software лиценца,Годишна лиценца за банкарски софтвер,60000.00,лиценца,18%,Софтвер
Обука за персонал,Специјализирана обука за банкарски систем,3000.00,учесник,5%,Образование
Web развој,Развој на корпоративна веб страница,25000.00,проект,18%,Развој
Мониторинг систем,Енергетски мониторинг и контрола,120000.00,систем,18%,Хардвер
Телеком софтвер,Биллинг систем за телекомуникации,18000.00,модул,18%,Софтвер
Медицински систем,Информационен систем за лекарска практика,35000.00,лиценца,5%,Здравство
Едукациски софтвер,Студентски информационен систем,42000.00,лиценца,5%,Образование
Е-комерс платформа,Онлајн продавница со интеграции,32000.00,проект,18%,Развој
